date,Unnamed: 0,USD,AUD,CHF,NOK,GBP,NZD,CAD,SEK,EUR
2014-11-18,129,1.253263,1.437749,1.201854,8.445348,0.801981,1.582137,1.416265,9.250269,1.45378508
2014-11-19,130,1.255086,1.456249,1.202422,8.514126,0.800235,1.59784,1.422011,9.276829,1.45589976
2014-08-19,131,1.33201,1.432046,1.209961,8.204902,0.801526,1.580886,1.455693,9.145639,1.5451316
2016-05-11,132,1.142416,1.54978,1.109945,9.333154,0.79104,1.675605,1.470945,9.299351,1.32520256
2015-05-26,133,1.088501,1.406158,1.035046,8.412926,0.707242,1.503359,1.349863,9.207774,1.26266116
2014-12-19,134,1.222918,1.501793,1.201778,9.007742,0.782624,1.57788,1.419303,9.444713,1.41858488
2014-12-18,135,1.228611,1.504476,1.199944,9.099995,0.784145,1.582041,1.424611,9.434885,1.42518876
2014-12-11,136,1.240612,1.500201,1.201764,9.016513,0.788586,1.587518,1.427888,9.332307,1.43910992
2014-12-10,137,1.244662,1.4963,1.204907,8.911836,0.792034,1.593296,1.42837,9.372468,1.44380792
2014-12-13,138,1.246244,1.511328,1.201835,9.169139,0.792925,1.602432,1.442405,9.408359,1.44564304
2014-12-12,139,1.246244,1.511328,1.201943,9.137563,0.792925,1.602432,1.440922,9.404975,1.44564304
2014-12-15,140,1.244063,1.51467,1.200553,9.260442,0.795391,1.606698,1.448879,9.476046,1.44311308
2014-12-14,141,1.246852,1.511658,1.201322,9.178463,0.793185,1.60208,1.44369,9.405793,1.44634832
2014-12-17,142,1.233637,1.518022,1.198132,9.165821,0.79217,1.602309,1.436539,9.449687,1.43101892
2014-12-16,143,1.25117,1.522011,1.202334,9.302672,0.794447,1.606014,1.453913,9.520054,1.4513572
2015-04-30,144,1.121335,1.419033,1.050437,8.475738,0.730442,1.474551,1.352925,9.377273,1.3007486
2014-08-16,145,1.339974,1.437396,1.210202,8.224975,0.802685,1.578508,1.460211,9.160766,1.55436984
2016-04-03,146,1.13924,1.48458,1.092269,9.473058,0.80125,1.65311,1.484583,9.261932,1.3215184
2016-04-02,147,1.139338,1.483024,1.091997,9.469859,0.800663,1.650157,1.482883,9.267333,1.32163208
2016-04-01,148,1.139338,1.483024,1.092606,9.471304,0.800663,1.650157,1.481475,9.268947,1.32163208
2016-04-07,149,1.13732,1.515073,1.087811,9.470979,0.809244,1.677977,1.495289,9.28359,1.3192912
2016-04-06,150,1.139632,1.499177,1.090059,9.485113,0.80677,1.66951,1.493184,9.285525,1.32197312
2016-04-05,151,1.138292,1.508896,1.089151,9.484105,0.804008,1.673228,1.493686,9.254595,1.32041872
2016-04-04,152,1.138988,1.497912,1.092063,9.485407,0.798472,1.674074,1.487857,9.25926,1.32122608
2016-04-09,153,1.139861,1.509371,1.087452,9.400719,0.806954,1.674371,1.482241,9.301182,1.32223876
2016-04-08,154,1.139861,1.509342,1.087381,9.407757,0.806954,1.674143,1.483016,9.298758,1.32223876
2014-10-18,155,1.275974,1.458969,1.206791,8.351623,0.792911,1.611292,1.438311,9.156528,1.48012984
2015-03-09,156,1.08494,1.409103,1.069694,8.601254,0.717302,1.475869,1.368314,9.201764,1.2585304
2015-03-08,157,1.082975,1.404715,1.068311,8.562304,0.720014,1.470639,1.366414,9.178474,1.256251
2014-08-25,158,1.318887,1.419421,1.207439,8.145451,0.795959,1.583499,1.447988,9.147944,1.52990892
2015-03-01,159,1.118303,1.432837,1.06679,8.57025,0.725035,1.47976,1.398606,9.333671,1.29723148
2015-03-03,160,1.117847,1.430398,1.073254,8.613321,0.727718,1.480682,1.396783,9.265169,1.29670252
2015-03-02,161,1.118266,1.440735,1.070386,8.599916,0.727856,1.48937,1.401375,9.322678,1.29718856
2015-03-05,162,1.103152,1.41777,1.071602,8.521927,0.723415,1.473384,1.377263,9.192383,1.27965632
2015-03-04,163,1.108107,1.417099,1.066461,8.600829,0.725864,1.460589,1.378661,9.222701,1.28540412
2015-03-07,164,1.084352,1.405103,1.066945,8.547751,0.721059,1.47245,1.366601,9.162342,1.25784832
2015-03-06,165,1.084352,1.405103,1.064896,8.543851,0.721059,1.47245,1.365045,9.151322,1.25784832
2015-05-03,166,1.119049,1.428573,1.044221,8.512393,0.738265,1.486562,1.36092,9.406756,1.29809684
2015-05-02,167,1.119955,1.426388,1.044294,8.503801,0.739719,1.48567,1.360853,9.396177,1.2991478
2015-05-01,168,1.119955,1.426388,1.045626,8.497053,0.739719,1.48567,1.359333,9.392933,1.2991478
2015-05-07,169,1.124418,1.421708,1.037141,8.402253,0.730095,1.509382,1.360049,9.310678,1.30432488
2015-05-06,170,1.13427,1.422861,1.042895,8.464925,0.744119,1.513871,1.366578,9.363462,1.3157532
2015-05-05,171,1.118314,1.409874,1.038376,8.481836,0.737017,1.485065,1.351904,9.34491,1.29724424
2015-05-04,172,1.114832,1.422119,1.040915,8.464153,0.737385,1.478796,1.34976,9.341148,1.29320512
2015-05-09,173,1.12109,1.412348,1.042174,8.383648,0.725651,1.496654,1.354124,9.25839,1.3004644
2015-05-08,174,1.121074,1.412328,1.040271,8.372089,0.725641,1.496632,1.35364,9.250628,1.30044584
2015-08-28,175,1.118307,1.559044,1.075545,9.277862,0.72651,1.730139,1.477485,9.464857,1.29723612
2015-01-18,176,1.156301,1.405239,0.994325,8.741404,0.764292,1.485353,1.385032,9.359996,1.34130916
2014-04-17,177,1.38124,1.480492,1.21892,8.26467,0.822566,1.611145,1.520301,9.114633,1.6022384
2015-08-29,178,1.118292,1.559023,1.076963,9.268102,0.7265,1.730116,1.476679,9.459704,1.29721872
2014-04-10,179,1.388569,1.47565,1.218648,8.243126,0.827501,1.602021,1.517678,9.067546,1.61074004
2014-04-11,180,1.388501,1.47785,1.216946,8.239921,0.829832,1.598677,1.522325,9.061663,1.61066116
2015-01-10,181,1.184239,1.443653,1.201764,9.067624,0.781142,1.511603,1.40465,9.539128,1.37371724
2015-01-11,182,1.185775,1.442988,1.201113,9.07415,0.780901,1.510947,1.405942,9.540533,1.375499
2015-01-12,183,1.183253,1.45081,1.2009,9.145902,0.779916,1.521184,1.414092,9.552585,1.37257348
2015-01-13,184,1.177559,1.442137,1.199767,9.110863,0.776709,1.521897,1.406044,9.498216,1.36596844
2015-01-14,185,1.179087,1.446013,1.200549,9.013815,0.77397,1.527396,1.409974,9.521084,1.36774092
2015-01-15,186,1.162712,1.418694,1.185185,8.857092,0.765895,1.48936,1.391243,9.412836,1.34874592
2015-01-16,187,1.156852,1.406126,0.993725,8.764295,0.763357,1.485208,1.384908,9.376091,1.34194832
2015-01-17,188,1.156539,1.405561,0.994691,8.754555,0.763371,1.484806,1.385356,9.370689,1.34158524
2015-01-03,189,1.200081,1.483322,1.201232,9.095525,0.782877,1.558561,1.411571,9.50216,1.39209396
2016-02-18,190,1.110854,1.552642,1.102554,9.547148,0.774939,1.673021,1.527078,9.392534,1.28859064
2015-01-02,191,1.204589,1.479358,1.201282,9.038443,0.776116,1.553436,1.402523,9.434778,1.39732324
2015-08-22,192,1.138915,1.555388,1.079727,9.337907,0.725647,1.703533,1.500224,9.536365,1.3211414
2014-10-03,193,1.251414,1.442476,1.207631,8.145751,0.783602,1.611194,1.404512,9.087936,1.45164024
2015-08-23,194,1.138768,1.562543,1.077662,9.335685,0.725776,1.709245,1.502144,9.519037,1.32097088
2014-06-20,195,1.359876,1.448497,1.216918,8.305809,0.799284,1.563391,1.464788,9.114817,1.57745616
2014-06-23,196,1.360267,1.443312,1.216656,8.313808,0.798764,1.560301,1.460443,9.116238,1.57790972
2014-06-25,197,1.363029,1.449898,1.217276,8.351796,0.802553,1.561407,1.461638,9.170144,1.58111364
2014-06-24,198,1.360489,1.452066,1.216597,8.31925,0.800996,1.568487,1.461588,9.147406,1.57816724
2014-06-27,199,1.36486,1.447906,1.21653,8.364494,0.801218,1.554957,1.456903,9.191084,1.5832376
2014-06-26,200,1.361237,1.445953,1.216234,8.348527,0.799438,1.549888,1.45676,9.16881,1.57903492
2016-02-12,201,1.12557,1.583678,1.098711,9.647917,0.776033,1.697848,1.561087,9.455,1.3056612
2015-11-28,202,1.059416,1.472741,1.090435,9.217576,0.7047,1.621325,1.415896,9.254559,1.22892256
2015-11-29,203,1.059071,1.472908,1.090853,9.217408,0.704321,1.621114,1.416146,9.252476,1.22852236
2016-02-13,204,1.125582,1.583695,1.099399,9.654884,0.776042,1.697867,1.560043,9.458494,1.30567512
2015-11-24,205,1.064713,1.466092,1.083253,9.206904,0.705802,1.623724,1.418157,9.259243,1.23506708
2015-11-25,206,1.061962,1.46416,1.084174,9.181834,0.702045,1.614054,1.412837,9.267602,1.23187592
2015-11-26,207,1.060688,1.469254,1.084799,9.187816,0.702386,1.615521,1.41018,9.265014,1.23039808
2015-11-27,208,1.059416,1.472644,1.089673,9.211975,0.704688,1.621325,1.415286,9.254423,1.22892256
2015-11-20,209,1.064713,1.471213,1.083811,9.196959,0.700867,1.622238,1.419684,9.276009,1.23506708
2015-11-21,210,1.064713,1.471213,1.083487,9.192105,0.700867,1.622238,1.420351,9.276014,1.23506708
2015-11-22,211,1.064453,1.472432,1.084838,9.192893,0.70088,1.622293,1.420443,9.286638,1.23476548
2015-11-23,212,1.063521,1.478401,1.08309,9.197325,0.703206,1.631497,1.420686,9.273638,1.23368436
2014-09-20,213,1.283007,1.437427,1.206139,8.149951,0.787637,1.578291,1.405909,9.169397,1.48828812
2014-09-21,214,1.283488,1.43654,1.207242,8.160608,0.787279,1.575565,1.40632,9.175752,1.48884608
2014-09-22,215,1.28488,1.447597,1.207998,8.157971,0.785154,1.583878,1.416224,9.190049,1.4904608
2014-05-09,216,1.375891,1.469691,1.216817,8.127839,0.816475,1.597346,1.498894,9.024037,1.59603356
2014-09-24,217,1.277898,1.439524,1.20693,8.158715,0.782387,1.582881,1.413413,9.170198,1.48236168
2014-09-25,218,1.275439,1.450082,1.206084,8.151184,0.78144,1.606703,1.416242,9.177854,1.47950924
2014-09-26,219,1.268382,1.447018,1.20579,8.176883,0.780689,1.612627,1.413296,9.200446,1.47132312
2014-05-02,220,1.387168,1.495151,1.218351,8.236729,0.822051,1.605267,1.522004,9.025428,1.60911488
2014-09-29,221,1.268931,1.455394,1.207068,8.180498,0.781266,1.632759,1.415944,9.189516,1.47195996
2014-05-01,222,1.386913,1.496024,1.220272,8.253831,0.821145,1.607096,1.520288,9.03377,1.60881908
2014-05-06,223,1.392717,1.490043,1.218592,8.256401,0.820463,1.598675,1.519215,9.058922,1.61555172
2014-05-07,224,1.391103,1.491947,1.218754,8.227895,0.820517,1.608449,1.516963,9.049547,1.61367948
2015-09-07,225,1.116988,1.610906,1.088525,9.29555,0.731282,1.782482,1.48525,9.439251,1.29570608
2015-09-06,226,1.114409,1.609761,1.083345,9.259075,0.733847,1.770377,1.478693,9.407248,1.29271444
2015-09-05,227,1.114925,1.613391,1.083988,9.259105,0.734925,1.775214,1.479304,9.407685,1.293313
2015-09-04,228,1.114925,1.613391,1.083498,9.254413,0.734925,1.775214,1.479731,9.403431,1.293313
2015-09-03,229,1.111971,1.584627,1.080451,9.200423,0.729022,1.741907,1.467635,9.359858,1.28988636
2015-09-02,230,1.121833,1.591164,1.086341,9.266365,0.732897,1.762476,1.485828,9.464985,1.30132628
2015-09-01,231,1.130228,1.609799,1.08546,9.379507,0.738489,1.78417,1.49714,9.532847,1.31106448
2015-10-30,232,1.100585,1.541961,1.08816,9.35764,0.713348,1.624387,1.442228,9.397684,1.2766786
2015-10-31,233,1.100634,1.54207,1.087401,9.351202,0.713012,1.623403,1.441044,9.398108,1.27673544
2015-09-09,234,1.121558,1.606611,1.093791,9.228656,0.73019,1.783525,1.488831,9.425398,1.30100728
2015-09-08,235,1.120599,1.594101,1.095409,9.242448,0.727859,1.763503,1.481852,9.425835,1.29989484
2015-07-30,236,1.093294,1.499589,1.05807,8.926643,0.700917,1.653768,1.420187,9.420643,1.26822104
2015-07-31,237,1.099087,1.504512,1.062934,8.984766,0.703587,1.667188,1.43628,9.483699,1.27494092
2015-12-09,238,1.102075,1.523863,1.086877,9.564396,0.725974,1.63597,1.494689,9.292556,1.278407
2015-12-08,239,1.089523,1.508421,1.082808,9.516368,0.725714,1.636495,1.47649,9.271457,1.26384668
2015-12-03,240,1.092952,1.489783,1.092972,9.317538,0.721882,1.636284,1.45947,9.321141,1.26782432
2015-12-02,241,1.061021,1.453018,1.082955,9.189159,0.709804,1.597964,1.416433,9.213113,1.23078436
2015-12-01,242,1.062855,1.451079,1.091315,9.188022,0.704882,1.592483,1.419966,9.240461,1.2329118
2015-12-07,243,1.08338,1.491373,1.082934,9.350303,0.719682,1.63059,1.460083,9.243684,1.2567208
2015-12-06,244,1.087801,1.482171,1.084647,9.270621,0.720205,1.613611,1.454125,9.236724,1.26184916
2015-12-05,245,1.088108,1.482613,1.084325,9.258914,0.720042,1.612435,1.453792,9.234237,1.26220528
2015-12-04,246,1.088108,1.482565,1.088226,9.281184,0.720042,1.612435,1.453524,9.262454,1.26220528
2016-03-20,247,1.127298,1.483769,1.092834,9.446404,0.77937,1.658972,1.468085,9.277178,1.30766568
2016-03-21,248,1.12416,1.48274,1.090883,9.448552,0.782229,1.660725,1.469934,9.252987,1.3040256
2016-03-22,249,1.12166,1.472271,1.090353,9.419134,0.789094,1.661713,1.46329,9.224201,1.3011256
2016-03-23,250,1.118369,1.484749,1.089663,9.466718,0.792137,1.66579,1.474316,9.236464,1.29730804
2016-03-24,251,1.117851,1.485387,1.09031,9.471427,0.790069,1.668926,1.477425,9.26203,1.29670716
